fighter,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts
Curtis Blaydes,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Josh Emmett,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Raquel Pennington,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Belal Muhammad,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Clay Guida,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Marc-Andre Barriault,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cortney Casey,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Frank Camacho,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Karl Roberson,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Charles Rosa,karate,1,0,0,1,1,0,1,0,0,0,0,0,0,3,0
Andre Fili,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Merab Dvalishvili,sambo,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
Anthony Ivy,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amanda Nunes,karate,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0
Raphael Assuncao,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Aljamain Sterling,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Neil Magny,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Eddie Wineland,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Ian Heinisch,wrestling,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Cody Stamann,wrestling,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
Charles Byrd,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Jussier Formiga,mixed,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Alonzo Menifield,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Evan Dunham,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Tyron Woodley,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Blagoy Ivanov,judo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Jamahal Hill,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Chris Gutierrez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dan Ige,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Krzysztof Jotko,wrestling,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
Song Yadong,kung fu,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0
Nate Landwehr,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rodrigo Nascimento,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alexander Hernandez,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Hunter Azure,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Chase Sherman,mixed,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Ryan Spann,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Aleksei Oleinik,wrestling,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
Henry Cejudo,wrestling,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
Francis Ngannou,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Jeremy Stephens,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Greg Hardy,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kevin Lee,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Demian Maia,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Elizeu Dos Santos,capoeira,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Veronica Macedo,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Weili Zhang,kung fu,0,1,1,1,0,0,1,0,1,0,0,0,0,3,1
Mark Madsen,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rodolfo Vieira,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gerald Meerschaert,taekwondo,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Danaa Batgerel,muay thai,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0
Joseph Benavidez,boxing,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Felicia Spencer,taekwondo,0,0,0,1,0,0,1,1,0,1,0,0,0,2,0
Ion Cutelaba,sambo,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3
Megan Anderson,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Gabriel Silva,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aalon Cruz,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jim Crute,karate,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1
Karolina Kowalkiewicz,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Ben Sosoli,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Kevin Aguilar,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jalin Turner,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Jake Matthews,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Callan Potter,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Kai Kara France,muay thai,0,0,1,1,0,0,1,0,0,1,0,0,0,2,0
Priscila Cachoeira,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Drew Dober,muay thai,0,1,1,0,0,1,1,1,0,0,0,0,0,2,2
Eryk Anders,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Emily Whitmire,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Andrea Lee,karate,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0
Allen Crowder,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jon Jones,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Jorge Masvidal,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Jan Blachowicz,judo,0,1,0,0,0,1,1,0,0,1,0,0,0,0,2
Gilbert Melendez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marlon Vera,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Caludia Gadelha,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Alejandro Perez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Edmen Shahbazyan,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ismail Naurdiev,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Corey Anderson,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Montana De La Rosa,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Rogerio Bontorin,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Devin Clark,boxing,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Macy Chiasson,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mark De La Rosa,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Germaine De Randamie,kickboxing,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0
Urijah Faber,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Marvin Vettori,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Liu Pingyuan,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Livinha Souza,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Benito Lopez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rafael Dos Anjos,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
James Vick,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Sam Alvey,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Ray Borg,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mario Bautista,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Domingo Pilarte,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cris Cyborg,muay thai,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Geoff Neal,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Olivier Aubin-Mercier,judo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Alexis Davis,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Erik Koch,taekwondo,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Joaquim Silva,mixed,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0
Scott Holtzman,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Darko Stosic,judo,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
Mickey Gall,jiu jitsu,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Miranda Granger,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Juan Adams,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Austin Lingo,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vincente Luque,karate,0,0,1,0,1,0,1,0,0,1,0,0,0,2,0
Luiz Garagorri,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Enrique Barzola,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Gilbert Burns,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ciryl Gane,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Kazula Vargas,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Daniel Cormier,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Yoel Romero,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Devonte Smith,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Manny Bermudez,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Hannah Cifers,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kyung Ho Kang,taekwondo,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
Li Jingliang,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Song Kenan,kung fu,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Da Un Jung,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Damir Ismagulov,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Heili Alateng,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Islam Makhachev,sambo,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
Mairbek Taisumov,muay thai,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Nordine Taleb,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Don Madge,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Donald Cerrone,muay thai,0,0,1,1,0,0,1,0,0,1,0,1,0,2,0
Glover Teixeira,boxing,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
Misha Cirkunov,judo,0,0,0,1,1,1,1,0,0,1,0,1,0,2,1
Brad Katona,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Chas Skelly,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Kyle Prepolec,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Irene Aldana,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Martin Bravo,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Jose Quinonez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Marco Polo Reyes,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ariane Carnelossi,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sergio Pettis,taekwondo,0,0,0,1,0,0,1,1,0,1,0,0,0,2,0
Vinicius Moreira,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Caludio Puelles,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gunnar Nelson,karate,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Michal Oleksiejczuk,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alen Amedovski,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Siyar Bahadurzada,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Brandon Davis,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Al Iaquinta,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Tai Tuivasa,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Luke Jumeau,taekwondo,1,0,0,0,0,0,1,1,0,0,0,1,0,2,0
Justin Tafa,kickboxing,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0
Nadia Kassem,taekwondo,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Khalid Taha,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bevon Lewis,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Arnold Allen,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Justine Kish,muay thai,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Montel Jackson,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Sara McMann,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Joanna Jedrzejczyk,muay thai,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
Niko Price,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Matt Frevola,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
JJ Aldrich,taekwondo,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Yair Rodriguez,taekwondo,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Joe Lauzon,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Maycee Barber,karate,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Kyle Bochniak,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Randy Costa,kickboxing,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0
Court McGee,wrestling,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
Daniel Spitz,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Muslim Salikhov,kung fu,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
Alex White,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Raphael Pessoa Nunes,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Conor McGregor,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Aleksa Camur,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kelvin Gastelum,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Shane Burgos,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Lyman Good,karate,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
Julio Arce,kickboxing,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0
Zabit Magomedsharipov,kung fu,0,1,0,1,0,0,1,0,1,0,0,0,0,2,1
Alekander Volkov,karate,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Zelim Imadaev,kickboxing,1,0,0,1,0,0,1,0,0,0,0,1,0,2,0
Shamil Gamzatov,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Rustam Khabilov,sambo,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Roman Kopylov,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Abubakar Nurmagomedov,sambo,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Alexander Yakovlev,sambo,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
Grigorii Popov,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Charles Oliveira,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Antonio Arroyo,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sergio Moraes,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Douglas Silva de Andrade,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vanessa Melo,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Frankie Edgar,wrestling,0,1,1,0,0,0,1,1,0,1,0,0,0,2,1
Dooho Choi,mixed,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0
 Jun Yong Park,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Seungwoo Choi,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Dong Hyun Ma,mixed,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1
Peter Yan,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Matt Brown,mixed,0,0,1,0,0,0,1,1,0,1,0,1,0,2,0
Aspen Ladd,jiu jitsu,1,1,0,1,0,0,0,0,0,1,0,0,0,2,1
Rob Font,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Thiago Alves,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Joe Solecki,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Makhmud Muradov,sambo,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Tatiana Suarez,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Yan Xiaonan,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alexander Gustafsson,boxing,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
Jimi Manuwa,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Damir Hadzovic,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Daniel Teymur,muay thai,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0
Rostem Akman,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tonya Evinger,wrestling,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Stevie Ray,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Nick Hein,judo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Bea Malecki,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Antonio Carlos Junior,jiu jitsu,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Desmond Green,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Danny Roberts,boxing,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Michael Trizano,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Patrick Cummins,wrestling,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Zak Cummings,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Rose Namajunas,taekwondo,0,0,0,1,1,0,1,1,0,1,0,0,0,3,0
Jared Cannonier,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Rogerio Nogueira,jiu jitsu,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Thiago Moises,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
BJ Penn,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Luana Carolina,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Talita Bernardo,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Walt Harris,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aiemann Zahabi,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Kyle Nelson,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arjan Bhullar,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Mitch Gagnon,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jacare Souza,jiu jitsu,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
John Lineker,mixed,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0
Ben Saunders,jiu jitsu,0,1,0,1,1,1,1,0,0,1,0,0,0,2,2
Angela Hill,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sergei Pavlovich,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Sultan Aliev,sambo,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
Magomed Mustafaev,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Wilson Reis,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Boston Salmon,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Curtis Millender,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lauren Mueller,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
David Branch,jiu jitsu,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Kennedy Nzechukwu,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sodiq Yusuff,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ross Pearson,taekwondo,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1
Alex Perez,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
John Makdessi,taekwondo,0,0,0,1,1,0,1,1,0,0,0,0,0,3,0
Ryan MacDonald,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eric Shelton,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Darren Till,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Leon Edwards,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Jack Marshman,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nicolae Negumereanu,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Danny Henry,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mike Grundy,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Tim Boetsch,wrestling,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
Anthony Rocco Martin,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Marion Reneau,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cody Garbrandt,boxing,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Liz Carmouche,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dwight Grant,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Michel Prazeres,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Renan Barao,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Alexandra Albu,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Rani Yahya,jiu jitsu,0,0,0,0,1,1,1,1,0,1,0,0,0,2,1
Teruto Ishihara,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wuliji Buren,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Junior Albini,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Magomed Bibulatov,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Gregor Gillespie,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Paige VanZant,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Dennis Bermudez,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
